Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nf25v","C_0805_2012Metric",34.3500,47.6250,90.0000,top
"C2","10uf16v","C_0805_2012Metric",9.6000,16.0500,-90.0000,top
"C3","10uf16v","C_0805_2012Metric",11.6000,16.0500,-90.0000,top
"C4","10uf16v","C_0805_2012Metric",22.9750,15.9500,-90.0000,top
"C5","10uf16v","C_0805_2012Metric",18.9000,47.6800,180.0000,top
"C6","10uf16v","C_0805_2012Metric",18.9250,41.4750,180.0000,top
"C7","10uf16v","C_0805_2012Metric",24.9500,15.9500,-90.0000,top
"C8","10uf16v","C_0805_2012Metric",26.4000,33.1000,180.0000,top
"C9","10uf16v","C_0805_2012Metric",25.5000,26.9750,0.0000,top
"C10","10uf16v","C_0805_2012Metric",50.8000,28.5000,0.0000,top
"C11","100nf25v","C_0805_2012Metric",22.2500,30.8000,0.0000,top
"C12","10uf16v","C_0805_2012Metric",50.7250,18.0500,0.0000,top
"C13","1uf16v","C_0805_2012Metric",22.2000,26.8500,-90.0000,top
"C14","100nf25V","C_0805_2012Metric",22.2250,23.3500,90.0000,top
"C15","10uf16v","C_0805_2012Metric",22.2500,32.7750,0.0000,top
"C16","100nf16v","C_0805_2012Metric",17.8000,33.2000,90.0000,top
"C17","1uf16v","C_0805_2012Metric",15.8000,33.2000,90.0000,top
"C18","1uf16v","C_0805_2012Metric",26.5000,23.0000,0.0000,top
"C19","100nf25v","C_0805_2012Metric",25.5000,24.9750,0.0000,top
"C20","100nF25V","C_0805_2012Metric",44.0000,9.8000,90.0000,top
"C21","2,2nf50v","C_0805_2012Metric",54.0000,10.7700,-90.0000,top
"C22","2,2nf50v","C_0805_2012Metric",56.0000,10.7700,-90.0000,top
"C23","1uf16v","C_0805_2012Metric",40.8000,10.1500,0.0000,top
"C24","1uf16V","C_0805_2012Metric",45.9750,9.8000,90.0000,top
"C25","2,2nf50v","C_0805_2012Metric",55.9400,21.8225,90.0000,top
"C26","2,2nf50v","C_0805_2012Metric",53.9800,21.8075,90.0000,top
"C27","1uf 16v","C_0805_2012Metric",48.2700,9.8600,90.0000,top
"C28","100nf25v","C_0805_2012Metric",40.8000,12.1250,0.0000,top
"C29","100nf16v","C_0805_2012Metric",50.7250,20.0500,0.0000,top
"C30","1uf16v","C_0805_2012Metric",50.7000,22.0250,180.0000,top
"C31","1uf 16v","C_0805_2012Metric",47.0250,12.5400,180.0000,top
"C32","100nf25v","C_0805_2012Metric",33.1750,31.9000,0.0000,top
"D1","LED","LED_0805_2012Metric",10.0050,28.7500,0.0000,top
"D2","LED","LED_0805_2012Metric",46.0100,24.2000,-90.0000,top
"R1","10k","R_0805_2012Metric",9.9800,30.6750,0.0000,top
"R2","100R","R_0805_2012Metric",51.9200,46.8700,90.0000,top
"R3","100R","R_0805_2012Metric",9.6000,19.4500,-90.0000,top
"R4","100K","R_0805_2012Metric",9.6000,12.6500,90.0000,top
"R5","3K8","R_0805_2012Metric",41.1250,46.4000,0.0000,top
"R6","3K8","R_0805_2012Metric",41.1250,48.3250,0.0000,top
"R7","3K8","R_0805_2012Metric",37.7250,44.9250,0.0000,top
"R8","100R","R_0805_2012Metric",11.6000,19.4500,-90.0000,top
"R9","100K","R_0805_2012Metric",11.6000,12.6500,90.0000,top
"R10","3K8","R_0805_2012Metric",34.3500,44.9250,0.0000,top
"R11","100K","R_0805_2012Metric",22.9750,12.5500,90.0000,top
"R12","100R","R_0805_2012Metric",22.9750,19.3500,-90.0000,top
"R13","100K","R_0805_2012Metric",24.9500,12.5500,90.0000,top
"R14","100R","R_0805_2012Metric",24.9500,19.3500,-90.0000,top
"R15","100R","R_0805_2012Metric",55.2900,46.8600,90.0000,top
"R16","470R","R_0805_2012Metric",54.0250,14.1950,-90.0000,top
"R17","470R","R_0805_2012Metric",55.9750,14.1950,-90.0000,top
"R18","470R","R_0805_2012Metric",55.9400,18.4225,90.0000,top
"R19","470R","R_0805_2012Metric",53.9750,18.4225,90.0000,top
"R20","10k","R_0805_2012Metric",41.7250,20.8000,180.0000,top
"R21","100R","R_0805_2012Metric",35.0800,22.7800,0.0000,top
"R22","100R","R_0805_2012Metric",35.0800,24.7300,0.0000,top
"R23","10k","R_0805_2012Metric",39.4750,31.8750,180.0000,top
"R24","10k","R_0805_2012Metric",44.0600,24.2300,90.0000,top
"R25","10k","R_0805_2012Metric",35.7250,34.5750,90.0000,top
"R26","100R","R_0805_2012Metric",32.7500,37.6500,90.0000,top
"R27","100R","R_0805_2012Metric",38.9500,37.7500,90.0000,top
"U1","AT24CS01-STUM","SOT-23-5",37.3900,47.5800,0.0000,top
"U2","ncp163","SOT-23-5",18.9000,44.6500,90.0000,top
"U3","ncp163","SOT-23-5",26.3500,30.0500,90.0000,top
"U4","PCM1863DBT","TSSOP-30_4.4x7.8mm_P0.5mm",16.6000,27.2500,90.0000,top
"U5","ncp163","SOT-23-5",50.8000,25.3750,90.0000,top
"U6","PCM5242RHBR","HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias",45.7500,16.7230,90.0000,top
"X1","22.5792Mhz","Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm",33.2500,34.4500,90.0000,top
"X2","24.576Mhz","Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm",39.4750,34.5250,90.0000,top
